Index Code,Phase,Module,Type,Title/Description,File Name,Storage Location,Source Category,Notes
P0.M6.TX01,0,6,TX,Structured synthesis of the global food system based on Modules 1–5,P0_M6_TX01_GlobalFoodSystemSynthesis.txt,/ssot/phase0/module6/outputs/,🟢 A,Structured synthesis of the global food system using harmonized data from all Phase 0 modules.
P0.M6.TX02,0,6,TX,Historical synthesis of the food system from 1960 to present,P0_M6_TX02_HistoricalEvolutionFoodSystem.txt,/ssot/phase0/module6/outputs/,🟢 A,"Historical timeline of the global food system (1960–present), including Green Revolution and liberalization."
P0.M1.DT06,0,1,DT,Feed-to-food conversion ratios by region and livestock type,P0_M1_DT06_FeedToFoodConversion.csv,/ssot/phase0/module1/data/,🟢 A,Derived from FAO and peer-reviewed meta-analyses
P0.M4.DT03,0,4,DT,Export dependency matrix by commodity and region,P0_M4_DT03_ExportDependencies.csv,/ssot/phase0/module4/data/,🟢 A,Calculated from FAOSTAT and WTO trade data
P0.M2.DT03,0,2,DT,Food waste rates by income level and commodity group,P0_M2_DT03_FoodWasteByIncome.csv,/ssot/phase0/module2/data/,🟢 A,Constructed from UNEP and World Bank datasets
P0.M2.TX02,0,2,TX,Income-level disaggregation of food waste patterns,P0_M2_TX02_IncomeLevelFoodWaste.txt,/ssot/phase0/module2/outputs/,🟢 A,Complementary analysis based on new disaggregated data
P0.M7.DT01,0,7,DT,"Global micronutrient deficiency rates by region, sex, and age group",P0_M7_DT01_CurrentGlobalMicronutrientDeficiencies.csv,/ssot/phase0/module7/data/,🟢 A,"Derived from WHO, GBD, UNICEF, and FAO reports"
P0.M7.TX01,0,7,TX,Interpretation of global micronutrient deficiency patterns and implications,P0_M7_TX01_DeficiencyBaselineInterpretation.txt,/ssot/phase0/module7/outputs/,🟢 A,Identifies baseline risk conditions and systemic failures
P0.M8.DT01,0,8,DT,Caloric and protein undernourishment by region and demographic group,P0_M8_DT01_CaloricAndProteinUndernourishment.csv,/ssot/phase0/module8/data/,🟢 A,"Derived from FAO SOFI, World Bank, GBD 2020, and UNICEF"
P0.M8.TX01,0,8,TX,Interpretation of current global caloric and protein undernourishment,P0_M8_TX01_GlobalUndernourishmentInterpretation.txt,/ssot/phase0/module8/outputs/,🟢 A,Narrative of geographic and systemic root causes based on institutional sources
